Operation, num1, num2, entity1, entity2, raw_cost, v1_cost, v2_cost, unmatch_cost, Entity_type, change?
ns,0,0,.,.,0,1120,1117,278,Package,0
ns,1,1,Anonymous_0,Anonymous_0,0,0,0,121,Package,0
ns,2,2,BlockChildMessage,BlockChildMessage,0,0,0,121,Class,0
ns,3,3,public  BlockChildMessage.BlockChildMessage( ),public  BlockChildMessage.BlockChildMessage( ),0,0,0,87,Method,0
ns,4,4,public  BlockChildMessage.BlockChildMessage( BlockChildMessage & ),public  BlockChildMessage.BlockChildMessage( BlockChildMessage & ),0,0,0,104,Method,0
ns,5,5,UnblockChildMessage,UnblockChildMessage,0,0,0,121,Class,0
ns,6,6,public  UnblockChildMessage.UnblockChildMessage( ),public  UnblockChildMessage.UnblockChildMessage( ),0,0,0,87,Method,0
ns,7,7,public  UnblockChildMessage.UnblockChildMessage( UnblockChildMessage & ),public  UnblockChildMessage.UnblockChildMessage( UnblockChildMessage & ),0,0,0,104,Method,0
ns,8,8,Anonymous_9,Anonymous_10,14,14,0,73,Package,1
ns,9,9,DEFAULT_PACKAGE_ID,DEFAULT_PACKAGE_ID,0,9,9,5473,Package,0
ns,10,10,.builtinFunctionInfo,.builtinFunctionInfo,0,0,0,87,Class,0
ns,11,11,ADD_EMPTY_CASE.,ADD_EMPTY_CASE.,0,0,0,87,Class,0
ns,12,12,ASSERT_NOT_THROWING.,ASSERT_NOT_THROWING.,0,0,0,87,Class,0
ns,13,13,AddJumpTargetArgs,AddJumpTargetArgs,0,0,0,189,Class,0
ns,14,14,public  AddJumpTargetArgs.AddJumpTargetArgs( AddJumpTargetArgs & ),public  AddJumpTargetArgs.AddJumpTargetArgs( AddJumpTargetArgs & ),0,0,0,104,Method,0
ns,15,15,public  AddJumpTargetArgs.AddJumpTargetArgs( void ),public  AddJumpTargetArgs.AddJumpTargetArgs( void ),0,0,0,87,Method,0
ns,16,16,public ProblemType AddJumpTargetArgs.cg,public ProblemType AddJumpTargetArgs.cg,0,0,0,87,Field,0
ns,17,17,private ProblemType AddJumpTargetArgs.cx,private ProblemType AddJumpTargetArgs.cx,0,0,0,87,Field,0
ns,18,18,public ProblemType AddJumpTargetArgs.node,public ProblemType AddJumpTargetArgs.node,0,0,0,87,Field,0
ns,19,19,public ProblemType AddJumpTargetArgs.offset,public ProblemType AddJumpTargetArgs.offset,0,0,0,87,Field,0
ns,20,20,AdjustCallerGlobalTypesVisitor,AdjustCallerGlobalTypesVisitor,0,0,0,257,Class,0
