"class","category"
.,"Package"
Anonymous_0,"Package"
BlockChildMessage,"Class"
BlockChildMessage.BlockChildMessage(),"Method"
BlockChildMessage.BlockChildMessage(BlockChildMessage &),"Method"
UnblockChildMessage,"Class"
UnblockChildMessage.UnblockChildMessage(),"Method"
UnblockChildMessage.UnblockChildMessage(UnblockChildMessage &),"Method"
Anonymous_10,"Package"
DEFAULT_PACKAGE_ID,"Package"
.builtinFunctionInfo,"Class"
ADD_EMPTY_CASE.,"Class"
ASSERT_NOT_THROWING.,"Class"
AddJumpTargetArgs,"Class"
AddJumpTargetArgs.AddJumpTargetArgs(AddJumpTargetArgs &),"Method"
AddJumpTargetArgs.AddJumpTargetArgs(void),"Method"
AddJumpTargetArgs.cg,"Field"
AddJumpTargetArgs.cx,"Field"
AddJumpTargetArgs.node,"Field"
AddJumpTargetArgs.offset,"Field"
AdjustCallerGlobalTypesVisitor,"Class"
AdjustCallerGlobalTypesVisitor.AdjustCallerGlobalTypesVisitor(AdjustCallerGlobalTypesVisitor &),"Method"
AdjustCallerGlobalTypesVisitor.AdjustCallerGlobalTypesVisitor(ProblemType &,ProblemType *),"Method"
AdjustCallerGlobalTypesVisitor.mCx,"Field"
AdjustCallerGlobalTypesVisitor.mLir,"Field"
AdjustCallerGlobalTypesVisitor.mLirbuf,"Field"
AdjustCallerGlobalTypesVisitor.mRecorder,"Field"
AdjustCallerGlobalTypesVisitor.mTypeMap,"Field"
AdjustCallerGlobalTypesVisitor.visitGlobalSlot(ProblemType *,unsigned int int,unsigned int int),"Method"
AdjustCallerGlobalTypesVisitor.getTypeMap(),"Method"
AdjustCallerStackTypesVisitor,"Class"
AdjustCallerStackTypesVisitor.AdjustCallerStackTypesVisitor(AdjustCallerStackTypesVisitor &),"Method"
AdjustCallerStackTypesVisitor.AdjustCallerStackTypesVisitor(ProblemType &,ProblemType *),"Method"
AdjustCallerStackTypesVisitor.mCx,"Field"
AdjustCallerStackTypesVisitor.mLir,"Field"
AdjustCallerStackTypesVisitor.mLirbuf,"Field"
AdjustCallerStackTypesVisitor.mRecorder,"Field"
AdjustCallerStackTypesVisitor.mTypeMap,"Field"
AdjustCallerStackTypesVisitor.mSlotnum,"Field"
AdjustCallerStackTypesVisitor.visitStackSlots(ProblemType *,ProblemType,ProblemType *),"Method"
AdjustCallerStackTypesVisitor.getTypeMap(),"Method"
Anonymous_1,"Class"
Anonymous_2,"Class"
Anonymous_2.Anonymous_2(Anonymous_2 &),"Method"
Anonymous_2.void(void),"Method"
Anonymous_2.active,"Field"
Anonymous_2.canDefault,"Field"
Anonymous_2.curpos,"Field"
Anonymous_2.depressed,"Field"
Anonymous_2.disabled,"Field"
Anonymous_2.focused,"Field"
Anonymous_2.inHover,"Field"
Anonymous_2.isDefault,"Field"
Anonymous_2.maxpos,"Field"
Anonymous_3,"Class"
Anonymous_3.Anonymous_3(Anonymous_3 &),"Method"
Anonymous_3.void(void),"Method"
Anonymous_3.min_slider_size,"Field"
Anonymous_3.slider_width,"Field"
Anonymous_3.stepper_size,"Field"
Anonymous_3.stepper_spacing,"Field"
Anonymous_3.trough_border,"Field"
Anonymous_4,"Class"
Anonymous_5,"Class"
Anonymous_6,"Class"
Anonymous_7,"Class"
Anonymous_8,"Class"
Anonymous_8.Anonymous_8(Anonymous_8 &),"Method"
Anonymous_8.void(void),"Method"
Anonymous_8.constraint,"Field"
Anonymous_8.derConstraint,"Field"
Anonymous_8.derPort,"Field"
Anonymous_8.port,"Field"
Anonymous_9,"Class"
Anonymous_9.Anonymous_9(Anonymous_9 &),"Method"
Anonymous_9.void(void),"Method"
Anonymous_9.entries,"Field"
ArgClosureTraits,"Class"
