"class1","class2","category"
"Anonymous_4.Anonymous_4(Anonymous_4 &)","Anonymous_8.Anonymous_8(Anonymous_8 &)","Method"
"Anonymous_4.void(void)","Anonymous_8.void(void)","Method"
"Anonymous_5.Anonymous_5(Anonymous_5 &)","Anonymous_9.Anonymous_9(Anonymous_9 &)","Method"
"Anonymous_5.void(void)","Anonymous_9.void(void)","Method"
"DummyForGlobalFunctions.CLAMP()","DummyForGlobalFunctions.NS_CLAMP()","Method"
"DummyForGlobalFunctions.CalculateStackSize(ProblemType)","DummyForGlobalFunctions.GetVMSize()","Method"
"DummyForGlobalFunctions.Fault(char *,PtrInfo *)","DummyForGlobalFunctions.Fault(char *,Anonymous_11 *)","Method"
"DummyForGlobalFunctions.SufficientlyAged(ProblemType,Anonymous_10 *,ProblemType,nsPurpleBuffer *)","DummyForGlobalFunctions.SufficientlyAged(ProblemType,nsPurpleBuffer *,ProblemType,Anonymous_11 *)","Method"
"DummyForGlobalFunctions._dyld_get_image_header()","DummyForGlobalFunctions.GetMachHeader()","Method"
"DummyForGlobalFunctions._dyld_get_image_name()","DummyForGlobalFunctions.GetImage()","Method"
"DummyForGlobalFunctions._dyld_get_image_vmaddr_slide()","DummyForGlobalFunctions.GetVMAddrSlide()","Method"
"DummyForGlobalFunctions._dyld_image_count()","DummyForGlobalFunctions.GetImageCount()","Method"
"DummyForGlobalFunctions.chars()","DummyForGlobalFunctions.getChars()","Method"
"DummyForGlobalFunctions.getErrorMessage(ProblemType,nsString &,ProblemType *,nsString &)","DummyForGlobalFunctions.getErrorMessage(ProblemType,nsString &,ProblemType,ProblemType,ProblemType *,nsString &)","Method"
"DummyForGlobalFunctions.getInvalidCertErrorMessage(ProblemType,ProblemType,nsString &,nsString &,ProblemType *,ProblemType *,nsString &)","DummyForGlobalFunctions.getInvalidCertErrorMessage(ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,nsString &,nsString &,ProblemType,ProblemType *,ProblemType,ProblemType *,nsString &)","Method"
"DummyForGlobalFunctions.jsds_FindEphemeral(Anonymous_10 * *,void *)","DummyForGlobalFunctions.jsds_FindEphemeral(Anonymous_11 * *,void *)","Method"
"DummyForGlobalFunctions.jsds_InsertEphemeral(Anonymous_10 * *,Anonymous_10 *)","DummyForGlobalFunctions.jsds_InsertEphemeral(Anonymous_11 * *,Anonymous_11 *)","Method"
"DummyForGlobalFunctions.jsds_InvalidateAllEphemerals(Anonymous_10 * *)","DummyForGlobalFunctions.jsds_InvalidateAllEphemerals(Anonymous_11 * *)","Method"
"DummyForGlobalFunctions.jsds_RemoveEphemeral(Anonymous_10 * *,Anonymous_10 *)","DummyForGlobalFunctions.jsds_RemoveEphemeral(Anonymous_11 * *,Anonymous_11 *)","Method"
"DummyForGlobalFunctions.nsHandleInvalidCertError(ProblemType *,ProblemType,ProblemType &,ProblemType &,ProblemType,ProblemType *)","DummyForGlobalFunctions.nsHandleInvalidCertError(ProblemType *,ProblemType,ProblemType &,ProblemType &,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType *)","Method"
"GCGraphBuilder.AddNode(void *,ProblemType *,ProblemType)","GCGraphBuilder.DescribeNode(ProblemType)","Method"
"nsHTMLTableColElement.nsHTMLTableColElement(ProblemType *)","nsHTMLTableColElement.nsHTMLTableColElement(ProblemType)","Method"
"nsSVGPolyElement.ConstructPath(ProblemType *)","nsSVGPolyElement.ConstructPath(gfxContext *)","Method"
"nsXULListitemAccessible.GetAttributesInternal(ProblemType *)","nsXULListitemAccessible.GetPositionAndSizeInternal(ProblemType *,ProblemType *)","Method"
